instrument,date,dow,day_open,day_close,day_high,day_low,prev_close,pdh,pdl,gap_pct,gap_type,gap_bucket,inside_day,outside_day,prev_inside,broke_pdh,broke_pdl,broke_pd_both,broke_pd_none,broke_pd_first,first15_bull,first30_bull,first60_bull,orb_high,orb_low,orb_range,orb_close,orb_close_above_mid,orb_close_loc,orb_first_side,orb_high_break,orb_low_break,orb_both_break,orb_one_side,orb_no_break,orb_break_first,orb_break_count,orb_up_ext,orb_dn_ext,orb_up_retr,orb_dn_retr,ib_high,ib_low,ib_range,ib_close,ib_close_above_mid,ib_close_loc,ib_first_side,ib_high_break,ib_low_break,ib_both_break,ib_one_side,ib_no_break,ib_break_first,ib_break_count,ib_up_ext,ib_dn_ext,ib_up_retr,ib_dn_retr
NIFTY 50,2015-01-09,Friday,8285.45,8285.45,8303.0,8191.1,,,,,n/a,n/a,False,False,False,False,False,False,True,none,True,True,False,8303.0,8285.45,17.55,8294.15,False,0.4957,low,False,True,False,True,False,low,1,-0.3789,5.3761,,0.6211000084877014,8303.0,8273.95,29.05,8281.55,False,0.2616,high,False,True,False,True,False,low,1,-0.2289000004529953,2.8519999980926514,,0.7710999846458435
NIFTY 50,2015-01-12,Monday,8291.35,8320.6,8323.6,8245.6,8285.4501953125,8303.0,8191.10009765625,0.07100000232458115,Flat,0 to +0.2%,False,False,False,True,False,False,False,pdh,False,False,False,8291.35,8245.6,45.75,8265.6,False,0.4372,high,True,False,False,True,False,high,1,0.7049,-0.1508,0.8492000102996826,,8292.7,8245.6,47.1,8284.1,True,0.8174,low,True,False,False,True,False,high,1,0.656000018119812,-0.14650000631809235,0.8535000085830688,
NIFTY 50,2015-01-13,Tuesday,8346.15,8303.2,8356.65,8268.15,8320.599609375,8323.599609375,8245.599609375,0.3070000112056732,Gap Up,+0.2% to +0.5%,False,False,False,True,False,False,False,pdh,False,False,False,8355.9,8324.4,31.5,8330.95,False,0.2079,high,True,True,True,False,False,low,2,0.0238,1.7857,2.7857000827789307,1.023800015449524,8355.9,8322.0,33.9,8336.7,False,0.4336,high,True,True,True,False,False,low,2,0.022099999710917473,1.5885000228881836,2.5885000228881836,1.0220999717712402
NIFTY 50,2015-01-14,Wednesday,8307.25,8270.2,8326.3,8236.75,8303.2001953125,8356.650390625,8268.150390625,0.04899999871850014,Flat,0 to +0.2%,False,False,False,False,True,False,False,pdl,False,True,False,8314.15,8286.85,27.3,8300.7,True,0.5073,low,True,True,True,False,False,high,2,0.445,1.8351,2.835099935531616,0.5512999892234802,8326.3,8286.85,39.45,8304.0,False,0.4347,low,False,True,False,True,False,low,1,-0.451200008392334,1.2698999643325806,,0.3815000057220459
NIFTY 50,2015-01-15,Thursday,8425.2,8508.25,8526.9,8380.75,8270.2001953125,8326.2998046875,8236.75,1.8739999532699585,Gap Up,> +1%,False,False,False,False,False,False,True,none,False,False,False,8452.65,8380.75,71.9,8416.9,True,0.5028,high,True,False,False,True,False,high,1,1.0327,-0.2552,0.033399999141693115,,8452.65,8380.75,71.9,8407.8,False,0.3762,high,True,False,False,True,False,high,1,1.0326999425888062,-0.25519999861717224,0.033399999141693115,
NIFTY 50,2015-01-20,Tuesday,8575.1,8690.85,8707.75,8574.65,8548.5498046875,8570.7998046875,8531.7001953125,0.3109999895095825,Gap Up,+0.2% to +0.5%,False,False,False,False,False,False,True,none,True,True,True,8587.25,8574.65,12.6,8584.55,True,0.7857,high,True,False,False,True,False,high,1,9.5638,-0.4047,0.18649999797344208,,8599.2,8574.65,24.55,8598.3,True,0.9633,low,True,False,False,True,False,high,1,4.421599864959717,-0.7067000269889832,0.29330000281333923,
NIFTY 50,2015-01-21,Wednesday,8719.65,8724.45,8741.5,8689.7,8690.849609375,8707.75,8574.650390625,0.3310000002384186,Gap Up,+0.2% to +0.5%,False,False,False,True,False,False,False,pdh,False,True,False,8721.9,8699.9,22.0,8716.15,True,0.7386,low,True,True,True,False,False,high,2,0.8909,0.4636,1.4636000394821167,1.5772000551223755,8741.5,8699.9,41.6,8715.75,False,0.381,low,False,True,False,True,False,low,1,-0.16590000689029694,0.2451999932527542,,0.8341000080108643
NIFTY 50,2015-01-22,Thursday,8745.85,8761.35,8772.45,8727.15,8724.4501953125,8741.5,8689.7001953125,0.24500000476837158,Gap Up,+0.2% to +0.5%,False,False,False,True,False,False,False,pdh,False,True,True,8754.55,8737.7,16.85,8741.55,False,0.2285,high,True,True,True,False,False,low,2,1.0624,0.6261,1.626099944114685,2.0624001026153564,8764.25,8735.0,29.25,8762.05,True,0.9248,low,True,True,True,False,False,high,2,0.28029999136924744,0.26840001344680786,1.268399953842163,0.917900025844574
NIFTY 50,2015-01-23,Friday,8827.95,8833.25,8866.15,8795.6,8761.349609375,8772.4501953125,8727.150390625,0.7599999904632568,Gap Up,+0.5% to +1%,False,False,False,False,False,False,True,none,True,True,True,8860.75,8827.95,32.8,8851.75,True,0.7256,low,True,True,True,False,False,high,2,0.1646,0.9863,1.986299991607666,0.6600000262260437,8866.15,8827.95,38.2,8843.7,False,0.4123,low,False,True,False,True,False,low,1,-0.4332999885082245,0.8468999862670898,,0.5666999816894531
NIFTY 50,2015-01-27,Tuesday,8871.35,8910.4,8924.95,8825.55,8833.25,8866.150390625,8795.599609375,0.4309999942779541,Gap Up,+0.2% to +0.5%,False,False,False,True,False,False,False,pdh,False,False,False,8874.7,8826.1,48.6,8849.3,False,0.4774,high,True,True,True,False,False,low,2,1.0339,0.0113,0.07199999690055847,2.033900022506714,8874.7,8826.1,48.6,8854.3,True,0.5802,high,True,True,True,False,False,low,2,1.0339000225067139,0.011300000362098217,0.07199999690055847,2.033900022506714
